sub,title_kr,title_en,desc_kr,desc_en,addr_kr,addr_en,hours_kr,tips_kr,tips_en,naver_map,kakao_map,web,publish_at
restaurant,무슬림 할랄 식당 지도,Muslim Halal Restaurant Map,무슬림 여행자를 위한 한국 할랄 식당 가이드,Halal restaurant guide for Muslim travelers in Korea,이태원·명동·동대문 등 외국인 밀집 지역 중심 분포,"Concentrated in Itaewon, Myeongdong, Dongdaemun foreign districts",식당별 상이 (대부분 11:00–22:00),"▪ 이태원 중앙모스크 인근 할랄 식당 밀집 지역
▪ 'Halal Certified'와 'Muslim-Friendly' 등급 차이 숙지 필요
▪ 기내식·항공사 할랄 옵션도 사전 신청 가능","▪ Dense halal restaurant area near Itaewon Central Mosque
▪ Understand difference between 'Halal Certified' & 'Muslim-Friendly'
▪ Halal in-flight meals available with advance request",https://map.naver.com/v5/search/이태원+할랄식당,https://map.kakao.com/link/search/이태원+할랄식당,https://english.visitkorea.or.kr,
restaurant,해운대 돼지국밥 맛집,Haeundae Pork Soup Restaurants,부산 향토음식 돼지국밥 핵심 맛집 가이드,Guide to Busan's iconic pork bone soup restaurants,해운대구 일대 (구체적 매장명은 검색 권장),Haeundae-gu area (search for specific restaurant names),대부분 06:00–22:00 (일부 24시간),"▪ '돼지국밥'과 '순대국밥' 차이 숙지 — 순대 포함 여부
▪ 새우젓은 소량씩 추가하며 간 맞추기 권장
▪ 김치는 셀프바에서 무한리필 가능한 곳 많음","▪ Know the difference: pork soup vs sundae soup (with blood sausage)
▪ Add shrimp paste gradually to adjust seasoning
▪ Many shops offer free kimchi refill at self-bar",https://map.naver.com/v5/search/해운대+돼지국밥,https://map.kakao.com/link/search/해운대+돼지국밥,,
restaurant,속초 중앙시장 닭강정,Sokcho Jungang Market Dakgangjeong,속초 명물 닭강정 원조 맛집 거리,Sokcho's iconic sweet & spicy fried chicken alley,속초시 중앙시장 닭강정 골목 일대,"Dakgangjeong alley, Jungang Market, Sokcho-si",대부분 09:00–20:00,"▪ 매장마다 원조 논쟁 있음 — 직접 시식 비교 추천
▪ 진공포장 시 상온 1–2일 보관 가능
▪ 시장 내 다른 길거리 음식과 함께 투어 추천","▪ Multiple shops claim 'original' — sample-compare yourself
▪ Vacuum-sealed packs last 1–2 days at room temp
▪ Combine with other market street food",https://map.naver.com/v5/search/속초중앙시장+닭강정,https://map.kakao.com/link/search/속초중앙시장+닭강정,,
restaurant,설렁탕 깍두기 맛집,Seolleongtang & Kkakdugi Restaurants,한국 대표 보양식 설렁탕 맛집 가이드,Guide to Korea's classic ox bone soup restaurants,전국 주요 도시 다수 분포 (검색 권장),Widely available in major cities (search recommended),대부분 07:00–21:00,"▪ '특' 또는 '곰탕'과 혼동 주의 — 메뉴 구성 상이
▪ 새벽 해장용으로도 인기 — 아침 일찍 방문 추천
▪ 양지·사태 부위 추가 주문 가능한 곳 있음","▪ Don't confuse with '곰탕' (similar but different)
▪ Popular for hangover cure — visit early morning
▪ Some allow extra brisket/shank meat add-on",https://map.naver.com/v5/search/설렁탕맛집,https://map.kakao.com/link/search/설렁탕맛집,,
restaurant,포장마차 분식 가격,Street Food Stall Price Guide,한국 길거리 포장마차 분식 가격 완전 정복,Complete guide to Korean street food stall pricing,명동·홍대·강남역 등 번화가 일대,"Myeongdong, Hongdae, Gangnam Station areas",대부분 11:00–24:00 (야간 포차는 더 늦게까지),"▪ 관광지 인근은 가격이 다소 높을 수 있어 가격표 확인 필수
▪ 카드 결제 가능 매장 증가 추세지만 현금 소액권 준비 권장
▪ 떡볶이 국물에 튀김 찍어먹는 조합이 한국 스타일","▪ Tourist-area prices may run higher — always check price board
▪ Card payment increasingly accepted but bring small cash too
▪ Dipping fried snacks in tteokbokki sauce is the Korean way",https://map.naver.com/v5/search/명동+포장마차,https://map.kakao.com/link/search/명동+포장마차,,
restaurant,안동 찜닭 골목 맛집,Andong Jjimdak Alley Restaurants,안동 찜닭 발상지 원조 골목 탐방,Birthplace alley of Korea's beloved braised chicken dish,경북 안동시 구시장 찜닭골목 일대,"Jjimdak alley, Old Market, Andong-si, Gyeongsangbuk-do",대부분 10:00–21:00,"▪ 2인 이상 방문 시 중(中) 사이즈 추천
▪ 매장마다 원조 표기 — 가격·맛 비슷하니 줄 짧은 곳 선택 가능
▪ 포장 가능, 식은 후 데워먹어도 맛있음","▪ Medium size recommended for 2+ people
▪ Multiple shops claim 'original' — similar quality, pick shorter line
▪ Takeout available, tastes good reheated",https://map.naver.com/v5/search/안동찜닭골목,https://map.kakao.com/link/search/안동찜닭골목,,
restaurant,이태원 할랄 인증 식당,Itaewon Halal-Certified Restaurants,이태원 핵심 할랄 인증 식당 모음,Collection of certified halal restaurants in Itaewon,용산구 이태원동 중앙모스크 인근 일대,"Near Central Mosque, Itaewon-dong, Yongsan-gu",대부분 11:00–22:00 (금요일 예배 시간 변동 가능),"▪ 중앙모스크 예배 시간(금요일 정오)에는 인근 혼잡 가능
▪ 터키 케밥·인도 커리 전문점 다수 분포
▪ 할랄 정육점도 함께 위치 — 식재료 구매 가능","▪ Friday noon prayer time may cause area crowding
▪ Many Turkish kebab & Indian curry specialty shops
▪ Halal butcher shops nearby — can purchase ingredients",https://map.naver.com/v5/search/이태원할랄식당,https://map.kakao.com/link/search/이태원할랄식당,,
hotspot,4월 날씨 및 옷차림,April Weather & Clothing Guide,한국 4월 일교차 큰 환절기 옷차림 가이드,Clothing guide for Korea's volatile April transitional weather,전국 공통 (계절 정보),Nationwide (seasonal info),해당없음,"▪ 4월 초는 쌀쌀, 4월 말은 초여름 느낌 — 기간 내 변화 큼
▪ 벚꽃 시즌과 겹쳐 야외 활동 시 가벼운 외투 필수
▪ 황사 가능성 있어 마스크 휴대 권장","▪ Early April chilly, late April feels like early summer
▪ Overlaps cherry blossom season — light outerwear essential
▪ Yellow dust possible — carry a mask",,,https://www.weather.go.kr,
hotspot,단풍 절정 시기 예상,Autumn Foliage Peak Forecast,한국 전국 단풍 절정 시기 지역별 가이드,Region-by-region guide to Korea's autumn foliage peak,전국 주요 단풍 명소 (지역별 상이),Major foliage spots nationwide (varies by region),해당없음,"▪ 설악산은 전국에서 가장 빠른 단풍 명소 (10월 중순)
▪ 서울은 11월 초중순이 절정 — 남산·북한산 추천
▪ 단풍 절정 주말은 교통 혼잡 극심 — 평일 또는 이른 아침 추천","▪ Seoraksan turns earliest in Korea (mid-Oct)
▪ Seoul peaks early-mid Nov — try Namsan, Bukhansan
▪ Peak weekends see severe traffic — visit weekdays or early morning",,,https://www.forest.go.kr,
cafe,인사동 전통 찻집 투어,Insadong Traditional Teahouse Tour,인사동 한옥 전통 찻집 핵심 코스,Core course of hanok-style traditional teahouses in Insadong,종로구 인사동길 일대,"Insadong-gil, Jongno-gu, Seoul",대부분 10:00–22:00,"▪ 쌍화차는 계란 노른자가 올라가는 전통 보양차
▪ 한옥 좌식 공간은 신발 벗고 입장하는 곳이 많음
▪ 인사동 골목골목 숨은 찻집 탐방도 추천","▪ Ssanghwa tea traditionally topped with raw egg yolk
▪ Many hanok floor seating areas require removing shoes
▪ Worth exploring hidden teahouses in side alleys",https://map.naver.com/v5/search/인사동+전통찻집,https://map.kakao.com/link/search/인사동+전통찻집,,
hotspot,롯데월드 매직패스 구매 팁,Lotte World Magic Pass Purchase Tips,대기시간 줄이는 롯데월드 매직패스 완전 공략,Complete guide to reducing wait times with Magic Pass,송파구 올림픽로 240 롯데월드,"240 Olympic-ro, Songpa-gu, Seoul",09:30–22:00 (요일별 변동 가능),"▪ 평일 오전 입장 시 매직패스 없이도 대기시간 짧음
▪ 인기 어트랙션은 개장 직후 1시간 이내 가장 혼잡
▪ 매직패스는 시간 지정제 — 늦으면 무효 처리될 수 있음","▪ Weekday morning entry has short waits even without pass
▪ Popular rides busiest within 1hr of opening
▪ Magic Pass is time-slotted — may void if late",https://map.naver.com/v5/search/롯데월드,https://map.kakao.com/link/search/롯데월드,https://www.lotteworld.com,
legal-info,한국 팁 & 부가세,Korea Tipping & VAT Guide,한국 팁 문화와 부가세 환급 완전 정리,Complete guide to Korean tipping culture & VAT refund,"전국 Tax Free 가맹점 (Global Blue, Global Tax Free 등)",Tax Free affiliated stores nationwide,매장별 상이 / 공항 환급 키오스크 24시간,"▪ 한국은 식당·택시·미용실 등에서 팁을 받지 않는 문화 — 팁 줄 필요 없음
▪ 부가세 환급은 출국 3시간 전 여유있게 처리 권장
▪ 고가 제품은 사전환급(즉시 할인) 가능 매장도 있음","▪ No tipping expected at restaurants, taxis, salons — don't tip
▪ Process VAT refund 3hrs before departure with buffer time
▪ Some stores offer instant refund (discount applied at purchase)",,,https://www.globalblue.com,
legal-info,택스 프리 무인기기,Tax Free Self-Service Kiosks,공항·시내 택스 프리 무인 환급기 이용법,How to use unmanned tax refund kiosks at airport/downtown,"인천공항 출국장, 명동·강남 시내 환급소","Incheon Airport departure hall, Myeongdong/Gangnam downtown offices",공항 24시간 / 시내 환급소 10:00–20:00,"▪ 시내 환급소 이용 시 공항에서 줄 서는 시간 절약 가능
▪ 카드 환급은 처리에 며칠 소요될 수 있음 — 현금 환급이 즉시 처리
▪ 영수증은 출국 전까지 분실하지 않도록 보관","▪ Downtown refund saves airport queue time
▪ Card refund may take days — cash refund is instant
▪ Keep receipts safe until departure",https://map.naver.com/v5/search/인천공항+택스환급,https://map.kakao.com/link/search/인천공항+택스환급,,
transit,카카오T 택시 부르기,Calling a Taxi with Kakao T,외국인을 위한 카카오T 택시 호출 완전 가이드,Complete Kakao T taxi-calling guide for foreigners,전국 어디서나 호출 가능 (앱 기반),Callable nationwide (app-based),24시간 호출 가능,"▪ 해외 번호 인증이 안 될 경우 한국 유심 구매 후 재시도
▪ 목적지는 영문 주소보다 한글 장소명 검색이 더 정확
▪ 카카오T 블루(고급택시)는 기본요금 다소 높지만 친절도 높음","▪ If foreign number fails, try with Korean SIM
▪ Korean place names search more accurately than English addresses
▪ Kakao T Blue (premium) costs slightly more but better service",,,https://www.kakaomobility.com,
transit,따릉이 외국인 대여,Seoul Bike (Ttareungyi) Foreign Rental,서울 공공자전거 따릉이 외국인 이용 가이드,Foreigner's guide to Seoul's public bike share system,서울 전역 따릉이 대여소 (앱 내 지도 확인),Stations citywide in Seoul (check app map),24시간 이용 가능,"▪ 한강공원·서울숲 등 자전거도로 정비 잘 된 코스 추천
▪ 헬멧은 개인 지참 또는 일부 대여소 비치
▪ 반납 시 다른 대여소에 반납해도 무방 (편도 이용 가능)","▪ Han River Park & Seoul Forest have well-maintained bike paths
▪ Bring own helmet or check station availability
▪ Can return at different station (one-way trips OK)",,,https://www.bikeseoul.com,
hotspot,비즈니스 호텔 체인,Business Hotel Chains Guide,한국 주요 비즈니스 호텔 체인 비교 가이드,Comparison guide to Korea's major business hotel chains,주요 도시 역세권 다수 분포,Mostly near stations in major cities,체크인 15:00 / 체크아웃 11:00 (호텔별 상이),"▪ 역세권 비즈니스 호텔은 늦은 도착·이른 출발 일정에 유리
▪ 체인별 멤버십 가입 시 적립·할인 혜택
▪ 예약 사이트별 가격 비교 시 10–20% 차이 발생 가능","▪ Station-adjacent hotels ideal for late arrival/early departure
▪ Chain membership offers points/discounts
▪ Price comparison across booking sites can reveal 10–20% gaps",,,,
hotspot,명동 가성비 3성급 호텔,Myeongdong Affordable 3-Star Hotels,명동 쇼핑 중심지 가성비 호텔 추천,Affordable hotel recommendations in Myeongdong shopping district,중구 명동 일대,"Myeongdong, Jung-gu, Seoul",체크인 15:00 / 체크아웃 11:00,"▪ 명동 호텔은 쇼핑·환전·면세점 도보 접근 최고 강점
▪ 번화가 특성상 야간 소음 있을 수 있어 고층 객실 추천
▪ 도보 10분 거리에 남대문시장·롯데백화점 위치","▪ Best walkable access to shopping/currency exchange/duty-free
▪ Downtown noise possible — request higher floor room
▪ Namdaemun Market & Lotte Dept. Store within 10min walk",https://map.naver.com/v5/search/명동호텔,https://map.kakao.com/link/search/명동호텔,,
cafe,성수동 카페거리 핫플,Seongsu-dong Cafe Street Hotspots,서울 핫플 성지 성수동 카페 투어,Seoul's trendiest cafe district tour,성동구 성수동 일대,"Seongsu-dong, Seongdong-gu, Seoul",대부분 10:00–22:00,"▪ 평일 오전 방문 시 대기 없이 여유롭게 즐길 수 있음
▪ 공장 리모델링 카페는 천장 높고 사진 찍기 좋음
▪ 성수동은 수제화 거리로도 유명 — 함께 둘러보기 추천","▪ Weekday mornings have shorter waits
▪ Factory-remodeled cafes have high ceilings, great for photos
▪ Also famous for handmade shoe district — explore together",https://map.naver.com/v5/search/성수동카페,https://map.kakao.com/link/search/성수동카페,,
cafe,연남동 경의선 숲길 카페,Yeonnam-dong Gyeongui Line Forest Cafes,연남동 숲길 따라 늘어선 감성 카페 투어,Charming cafe tour along Yeonnam's linear forest park,마포구 연남동 경의선숲길 일대,"Gyeongui Line Forest Park, Yeonnam-dong, Mapo-gu",대부분 10:00–23:00,"▪ 해질녘 숲길 산책 후 카페 방문 코스 인기
▪ 다국적 음식점도 밀집 — 카페 투어와 함께 식사 코스 가능
▪ 봄철 벚꽃 시즌엔 숲길 자체가 명소화","▪ Popular to walk the park at dusk then visit a cafe
▪ Many international restaurants nearby — combine with dining
▪ Park itself becomes a hotspot during spring cherry blossoms",https://map.naver.com/v5/search/연남동카페,https://map.kakao.com/link/search/연남동카페,,
restaurant,광화문 직장인 회식 성지,Gwanghwamun Office Worker Dining District,광화문 오피스 직장인 회식 맛집 거리,Popular team-dinner restaurant street for office workers,종로구 광화문 일대,"Gwanghwamun, Jongno-gu, Seoul",대부분 17:00–02:00 (회식 시간대),"▪ 평일 저녁 6–8시는 직장인 단체 예약 많아 대기 가능
▪ 한국 회식 문화는 1차→2차→3차 이어지는 경우 多
▪ 외국인 여행자도 그룹 예약 시 비슷한 코스 체험 가능","▪ Weekday 6–8pm has many group reservations, expect waits
▪ Korean dinner culture often extends 1st→2nd→3rd rounds
▪ Foreign travelers can experience similar course with group booking",https://map.naver.com/v5/search/광화문+회식맛집,https://map.kakao.com/link/search/광화문+회식맛집,,
hotspot,인사동 쌈지길 쇼핑 가이드,Insadong Ssamzigil Shopping Guide,인사동 대표 복합쇼핑몰 쌈지길 완전 공략,Complete guide to Insadong's iconic Ssamzigil complex,종로구 인사동길 44,"44 Insadong-gil, Jongno-gu, Seoul",10:30–20:30 (연중무휴),"▪ 나선형 구조라 한 방향으로 걸으면 전체 매장 자연스럽게 둘러보게 됨
▪ 한국적 기념품(부채·도장·전통차) 한 곳에서 비교 구매 가능
▪ 옥상 정원 포토존은 인사동 인스타 명소","▪ Spiral layout means walking one direction covers all shops naturally
▪ Compare Korean souvenirs (fans/stamps/tea) all in one place
▪ Rooftop garden is a popular Instagram photo spot",https://map.naver.com/v5/search/쌈지길,https://map.kakao.com/link/search/쌈지길,,
