sub,region,title_kr,title_en,desc_kr,desc_en,addr_kr,addr_en,route_kr,duration,difficulty,budget_kr,naver_map,kakao_map,web,free,publish_at
3hour,수원 화성,수원 화성 성곽 투어,Suwon Hwaseong Fortress Tour,"유네스코 세계문화유산 수원 화성 성곽 투어
▪ 장안문 → 방화수류정 → 화홍문 → 팔달문
▪ 4대문 + 성곽 전체 둘레 5.7km
▪ 화성행궁 내부 관람 연계 가능","UNESCO Suwon Hwaseong Fortress wall tour
▪ Janganmun → Banghwasuryu → Hwahongmun → Paldalmun
▪ 4 gates + full 5.7km fortress walk
▪ Hwaseong Haenggung (palace) tour optional",장안동 1-1 (장안문),"Janganmun Gate, Paldal-gu, Suwon-si",1호선 수원역 2번 출구 → 마을버스 11번 → 화성행궁 정류장 (약 15분),2.5시간,medium,"입장료 1,000원",https://map.naver.com/v5/search/수원화성,https://map.kakao.com/link/search/수원화성,https://www.swcf.or.kr,TRUE,
3hour,속초 대포항,대포항 새벽 어시장,Daepohang Dawn Fish Market,"속초 대포항 새벽 어시장 탐방
▪ 새벽 5~8시 가장 활기
▪ 갓 잡은 생선·활어회 현장 구매
▪ 아바이마을 갯배 체험 연계 가능","Sokcho Daepohang dawn fish market visit
▪ Most active 5–8am
▪ Fresh catch & live fish on-site purchase
▪ Abai Village ferry experience nearby",대포항길 16,"16 Daepohang-gil, Sokcho-si, Gangwon-do",속초버스터미널 → 시내버스 1·1-1번 → 대포항 정류장 (약 10분),1.5시간,easy,무료 (시식 별도),https://map.naver.com/v5/search/속초+대포항,https://map.kakao.com/link/search/속초+대포항,https://www.sokcho.go.kr/tour,TRUE,
3hour,서울 강남,K-POP 댄스 클래스,K-POP Dance Class,"K-POP 안무 2시간 체험 클래스
▪ 최신 아이돌 안무 집중 학습
▪ 소그룹 진행 (정원 10명 내외)
▪ 수료 영상 촬영 포함","K-POP choreography 2-hour experience
▪ Latest idol dance intensive
▪ Small group (up to ~10 persons)
▪ Wrap-up video shoot included",강남대로 396,"396 Gangnam-daero, Gangnam-gu, Seoul",2호선·신분당선 강남역 11번 출구 → 도보 5분,2시간,medium,"30,000~50,000원",https://map.naver.com/v5/search/강남+KPOP댄스,https://map.kakao.com/link/search/강남+KPOP댄스,해당없음,FALSE,
recommend,서울 이태원,세계 요리 쿠킹 클래스,Global Cuisine Cooking Class,"이태원 셰프와 함께하는 3시간 쿠킹 클래스
▪ 한식·아시안·서양 요리 3개 메뉴 실습
▪ 식재료·조리 도구 전부 제공
▪ 완성 요리 식사 포함","3-hour cooking class with Itaewon chef
▪ Korean · Asian · Western 3-menu hands-on
▪ All ingredients & tools provided
▪ Meal with completed dishes included",이태원로 221,"221 Itaewon-ro, Yongsan-gu, Seoul",6호선 이태원역 3번 출구 → 도보 5분,3시간,medium,"50,000~70,000원",https://map.naver.com/v5/search/이태원+쿠킹클래스,https://map.kakao.com/link/search/이태원+쿠킹클래스,해당없음,FALSE,
3hour,서울 성수,레더 공방 체험,Leather Workshop,"성수동 가죽 공방 수제 지갑 제작
▪ 가죽 재단 → 바느질 → 각인 완성
▪ 소요시간 약 2.5시간
▪ 완성품 당일 수령","Seongsu leather workshop custom wallet making
▪ Leather cutting → stitching → stamping
▪ Approx. 2.5 hours
▪ Take home same day",연무장길 74,"74 Yeonmujang-gil, Seongdong-gu, Seoul",2호선 뚝섬역 1번 출구 → 도보 10분,2.5시간,easy,"70,000~100,000원",https://map.naver.com/v5/search/성수동+가죽공방,https://map.kakao.com/link/search/성수동+가죽공방,해당없음,FALSE,
3hour,부산 광안리,SUP 요가 클래스,SUP Yoga Class,"광안리 패들보드 위 요가 체험
▪ 광안리 해변 출발 → 광안대교 뷰 포인트
▪ 초보 가능 · 강사 1인 동반
▪ 안전 장비·구명조끼 전부 제공","Gwangalli Beach paddleboard yoga experience
▪ Departs Gwangalli Beach → Gwangandaegyo view point
▪ Beginner-friendly · instructor included
▪ All safety gear & life jacket provided",광안해변로 219,"219 Gwanganhaebyeon-ro, Suyeong-gu, Busan",지하철 2호선 광안역 3번 출구 → 도보 10분 → 광안리해수욕장,1.5시간,medium,"40,000~60,000원",https://map.naver.com/v5/search/광안리+SUP,https://map.kakao.com/link/search/광안리+SUP,해당없음,FALSE,
3hour,제주 한림,제주 승마 체험,Jeju Horse Riding,"한라산 자락 제주마 승마 체험
▪ 제주 초원 배경 기념 사진 포함
▪ 초보 가능 · 안전모·승마복 대여
▪ 렌터카 이용 권장 (제주공항 40분)","Jeju horse riding at Hallasan foothills
▪ Jeju grassland backdrop photo included
▪ Beginner-friendly · helmet & riding gear rental
▪ Rental car recommended (40min from Jeju Airport)",금악리 일대 (제주시 한림읍),"Geumak-ri, Hallim-eup, Jeju-si, Jeju","※ 렌터카 이용 권장 — 제주공항 출발 약 40분
버스: 제주버스터미널 → 한림읍 방면 시외버스",2시간,easy,"60,000~80,000원",https://map.naver.com/v5/search/제주+승마,https://map.kakao.com/link/search/제주+승마,해당없음,FALSE,
recommend,경주 보문,신라 도자기 만들기,Silla Pottery Making,"경주 전통 도예 공방 신라 도자기 체험
▪ 흙 성형 → 건조 → 유약 → 완성품 배송
▪ 소요시간 약 3시간
▪ 완성품 2~3주 후 택배 수령","Gyeongju pottery workshop Silla-style ceramics
▪ Clay shaping → drying → glazing → delivery
▪ Approx. 3 hours
▪ Completed piece shipped in 2–3 weeks",보문로 424,"424 Bomun-ro, Gyeongju-si, Gyeongsangbuk-do",KTX 신경주역 → 경주 시내버스 700번 → 보문단지 정류장 (약 20분),3시간,medium,"50,000~70,000원",https://map.naver.com/v5/search/경주+도예공방,https://map.kakao.com/link/search/경주+도예공방,해당없음,FALSE,
recommend,강릉 주문진,새우잡이 어선 체험,Shrimp Fishing Boat Experience,"주문진항 출발 동해 새우잡이 어선 승선
▪ 조업 체험 → 갓 잡은 새우 현장 시식
▪ 소요시간 약 4시간
▪ 멀미약 사전 복용 권장","East Sea shrimp fishing boat from Jumunjin Harbor
▪ Hands-on fishing → freshly caught shrimp tasting
▪ Approx. 4 hours
▪ Motion sickness medicine recommended",주문북로 308,"308 Jumunbuk-ro, Jumunjin-eup, Gangneung-si, Gangwon-do",KTX 강릉역 → 시내버스 300번 → 주문진항 정류장 (약 30분),4시간,hard,"80,000~100,000원",https://map.naver.com/v5/search/주문진항,https://map.kakao.com/link/search/주문진항,해당없음,FALSE,
3hour,전주 한지,전통 한지 공예,Traditional Hanji Paper Craft,"전주 한지 장인과 함께하는 한지 공예 체험
▪ 닥나무 → 한지 제작 원리 설명
▪ 한지 부채·엽서·등 만들기 선택
▪ 완성품 당일 수령","Traditional hanji craft with Jeonju master artisan
▪ Mulberry tree → hanji making process explanation
▪ Choose: fan, postcard, or lantern making
▪ Take home same day",팔복로 59 (한지박물관 인근),"Near Hanji Museum, Deokjin-gu, Jeonju-si, Jeonbuk-do",KTX 전주역 → 시내버스 54번 → 덕진공원 정류장 (약 15분),2시간,easy,"40,000~60,000원",https://map.naver.com/v5/search/전주+한지공방,https://map.kakao.com/link/search/전주+한지공방,해당없음,FALSE,
3hour,인천 강화,강화 갯벌 체험,Ganghwa Tidal Flat Experience,"강화도 갯벌 조개 캐기·낙지 잡기 체험
▪ 가족·커플 최적 코스
▪ 고무장갑·장화 대여 가능
▪ 만조 시간 확인 후 방문 필수","Ganghwa tidal flat clam digging & octopus catching
▪ Ideal for families & couples
▪ Rubber gloves & boots rental available
▪ Must check tide schedule before visit",화도면 해안남로 일대,"Hwado-myeon coast, Ganghwa-gun, Incheon",신촌역(2호선) → 3000번 버스 → 강화터미널 → 군내버스 환승 (총 약 1시간 30분),2시간,easy,"30,000~50,000원",https://map.naver.com/v5/search/강화도+갯벌체험,https://map.kakao.com/link/search/강화도+갯벌체험,해당없음,FALSE,
3hour,대구 앞산,앞산 패러글라이딩,Apsan Paragliding,"대구 앞산 패러글라이딩 체험
▪ 대구 시내 전경 조망 비행
▪ 소요시간 약 1시간 (대기 포함)
▪ 강사 동반 2인 탠덤 비행","Apsan Mountain paragliding experience
▪ Aerial view of Daegu city panorama
▪ Approx. 1 hour including wait
▪ Tandem flight with certified instructor",앞산순환로 574,"574 Apsansunhwan-ro, Nam-gu, Daegu",지하철 1호선 앞산역 2번 출구 → 앞산순환버스 → 앞산공원 (약 20분),1시간,medium,"120,000~150,000원",https://map.naver.com/v5/search/앞산+패러글라이딩,https://map.kakao.com/link/search/앞산+패러글라이딩,해당없음,FALSE,
recommend,수원 영통,서바이벌 게임,Paintball Survival Game,"수원 실내 서바이벌 페인트볼 게임
▪ 팀 구성 → 전술 브리핑 → 실전 게임
▪ 보호 장비 전부 대여 포함
▪ 4인 이상 예약 권장","Suwon indoor paintball survival game
▪ Team formation → briefing → live game
▪ All protective gear rental included
▪ 4+ person booking recommended",영통로 일대 (수원시 영통구),"Yeongtong-gu, Suwon-si, Gyeonggi-do",분당선 영통역 1번 출구 → 도보 10분,3시간,medium,"50,000~70,000원",https://map.naver.com/v5/search/수원+서바이벌게임,https://map.kakao.com/link/search/수원+서바이벌게임,해당없음,FALSE,
recommend,속초 설악,설악산 암벽 등반,Seoraksan Rock Climbing,"설악산 울산바위 암벽 등반 입문 코스
▪ 기초 장비 사용법 → 실전 등반
▪ 설악산 절경 배경 등반 체험
▪ 전문 가이드 동반 필수 · 초보 가능","Seoraksan Ulsanbawi intro rock climbing course
▪ Basic gear training → actual climbing
▪ Seoraksan scenery as backdrop
▪ Professional guide required · beginner welcome",설악산로 833,"833 Seoraksan-ro, Sokcho-si, Gangwon-do",속초버스터미널 → 7번 버스 → 설악산 소공원 (약 20분),4시간,hard,"100,000~120,000원",https://map.naver.com/v5/search/설악산+암벽등반,https://map.kakao.com/link/search/설악산+암벽등반,해당없음,FALSE,
3hour,서울 광화문,청와대 역사 투어,Blue House History Tour,"청와대 대통령 관저 개방 투어
▪ 청와대 본관 → 영빈관 → 춘추관 → 녹지원
▪ 사전 예약 필수 (청와대 공식 홈페이지)
▪ 신분증 지참 필수","Presidential Blue House open tour
▪ Main building → Yeongbingwan → Chunchugwan → Nokjiwon
▪ Prior reservation required (official website)
▪ ID required",청와대로 1,"1 Cheongwadae-ro, Jongno-gu, Seoul",3호선 경복궁역 4번 출구 → 도보 15분 → 청와대 입구,2시간,easy,무료 (사전 예약),https://map.naver.com/v5/search/청와대,https://map.kakao.com/link/search/청와대,https://www.cheongwadae.go.kr,FALSE,
3hour,서울 종로,창덕궁 비원 특별관람,Changdeokgung Secret Garden Tour,"창덕궁 후원(비원) 특별관람 코스
▪ 부용지 → 애련지 → 옥류천 → 연경당
▪ 사전 예약 필수 (문화재청 예약 시스템)
▪ 인원 제한 소규모 가이드 투어","Changdeokgung Huwon (Secret Garden) special tour
▪ Buyongji → Aeryanji → Okryucheon → Yeongyeongdang
▪ Prior reservation required (Cultural Heritage Administration)
▪ Small group guided tour",율곡로 99,"99 Yulgok-ro, Jongno-gu, Seoul",3호선 안국역 3번 출구 → 도보 5분 → 창덕궁 정문(돈화문),2시간,easy,"성인 8,000원",https://map.naver.com/v5/search/창덕궁+비원,https://map.kakao.com/link/search/창덕궁+비원,https://www.cdg.go.kr,TRUE,
3hour,서울 종로,북촌 한옥마을 골목 탐방,Bukchon Hanok Village Alley Walk,"북촌 8경 한옥 골목 탐방 코스
▪ 가회동 31번지 → 11경 → 삼청동 카페거리
▪ 조선시대 양반 주거 문화 체험
▪ 주말 오전 9시 이전 방문 권장 (혼잡 방지)","Bukchon 8 scenic spots hanok alley walk
▪ Gahoe-dong 31 → 11 spots → Samcheong-dong cafe street
▪ Joseon-era noble residential culture
▪ Weekend visit before 9am recommended",계동길 37,"37 Gyedong-gil, Jongno-gu, Seoul",3호선 안국역 2번 출구 → 도보 5분 → 북촌문화센터,2시간,easy,무료,https://map.naver.com/v5/search/북촌한옥마을,https://map.kakao.com/link/search/북촌한옥마을,해당없음,TRUE,
3hour,서울 종로,광화문·세종대로 역사 산책,Gwanghwamun & Sejong-daero History Walk,"광화문 광장 역사 산책 코스
▪ 광화문 → 세종대왕 동상 → 이순신 동상 → 청계광장
▪ 광화문 수문장 교대식 (10:00·14:00·16:00)
▪ 지하 광화문광장 역사 전시 무료 관람","Gwanghwamun Square history walk
▪ Gwanghwamun → King Sejong statue → Admiral Yi statue → Cheonggye Plaza
▪ Guard ceremony 10:00 / 14:00 / 16:00
▪ Underground exhibition free admission",세종대로 172,"172 Sejong-daero, Jongno-gu, Seoul",5호선 광화문역 1·8번 출구 → 도보 1분 → 광화문 광장,1.5시간,easy,무료,https://map.naver.com/v5/search/광화문광장,https://map.kakao.com/link/search/광화문광장,해당없음,TRUE,
3hour,서울 용산,국립중앙박물관 하이라이트 투어,National Museum of Korea Highlights Tour,"국립중앙박물관 핵심 전시 투어
▪ 선사·고대관 → 반가사유상 → 고려청자 → 조선실
▪ 상설전시 무료 · 오디오가이드 3,000원
▪ 거울못 야외 정원 산책 연계","National Museum of Korea core collection tour
▪ Prehistoric·Ancient → Pensive Bodhisattva → Goryeo celadon → Joseon hall
▪ Permanent exhibition free · Audio guide 3,000 KRW
▪ Mirror Pond outdoor garden walk",서빙고로 137,"137 Seobinggo-ro, Yongsan-gu, Seoul",4호선·경의중앙선 이촌역 2번 출구 → 도보 5분 → 박물관 정문,2시간,easy,무료 (특별전 별도),https://map.naver.com/v5/search/국립중앙박물관,https://map.kakao.com/link/search/국립중앙박물관,https://www.museum.go.kr,TRUE,
3hour,서울 마포,망원동 로컬 마켓 탐방,Mangwon Local Market Exploration,"망원동 망원시장 로컬 탐방 코스
▪ 망원시장 → 망리단길 카페거리 → 한강 망원공원
▪ 떡볶이·순대·빈대떡 현지 분식 체험
▪ 홍대·연남동 연계 가능","Mangwon-dong local market exploration
▪ Mangwon Market → Mangridan-gil cafe street → Hangang Mangwon Park
▪ Local bunsik: tteokbokki · sundae · bindaetteok
▪ Connects to Hongdae · Yeonnam",망원로 39,"39 Mangwon-ro, Mapo-gu, Seoul",6호선 망원역 2번 출구 → 도보 3분 → 망원시장 입구,2시간,easy,"식비 10,000원~",https://map.naver.com/v5/search/망원시장,https://map.kakao.com/link/search/망원시장,해당없음,TRUE,
3hour,서울 성동,서울숲 피크닉 코스,Seoul Forest Picnic Course,"서울숲 도심 속 힐링 피크닉 코스
▪ 문화예술공원 → 생태숲 → 곤충식물원 → 한강수변공원
▪ 사슴 방사장 무료 관람
▪ 따릉이 대여 후 한강변 자전거 연계","Seoul Forest urban healing picnic
▪ Culture & Art Park → Eco Forest → Insect·Plant Garden → Hangang waterfront
▪ Free deer habitat viewing
▪ Connect to Han River cycling via Ddareungi",뚝섬로 273,"273 Ttukseom-ro, Seongdong-gu, Seoul",분당선 서울숲역 3번 출구 → 도보 5분 → 서울숲 정문,2시간,easy,무료,https://map.naver.com/v5/search/서울숲,https://map.kakao.com/link/search/서울숲,해당없음,TRUE,
3hour,서울 강남,코엑스 별마당 도서관 투어,COEX Starfield Library Tour,"코엑스 별마당 도서관 & 쇼핑몰 투어
▪ 별마당 도서관(무료) → SM 아티움 → 강남구 도산공원
▪ 13m 높이 서가 인증 포토존
▪ SM 아티움 SM 아티스트 전시 무료 관람","COEX Starfield Library & mall tour
▪ Starfield Library (free) → SM Atrium → Dosan Park
▪ 13m-high bookshelf photo spot
▪ SM Atrium artist exhibition free",영동대로 513 코엑스몰,"513 Yeongdong-daero, Gangnam-gu, Seoul (COEX Mall)",2호선 삼성역 5·6번 출구 → 지하 직결 → 별마당 도서관,2시간,easy,무료,https://map.naver.com/v5/search/별마당도서관,https://map.kakao.com/link/search/별마당도서관,해당없음,TRUE,
3hour,서울 송파,잠실 한강공원 야경 코스,Jamsil Hangang Night View Course,"잠실 한강공원 야경 산책 코스
▪ 롯데월드타워 서울스카이 뷰 → 한강 수변 산책
▪ 해질녘 방문 시 서울 최고 야경
▪ 치맥 피크닉 · 따릉이 야간 대여 가능","Jamsil Hangang Park night view walk
▪ Lotte World Tower Seoul Sky view → Hangang riverside walk
▪ Best Seoul night view at sunset
▪ Chimaek picnic · Ddareungi night rental",올림픽로 240 잠실한강공원,"Jamsil Hangang Park, 240 Olympic-ro, Songpa-gu, Seoul",2호선·8호선 잠실역 1번 출구 → 도보 10분 → 잠실한강공원,2시간,easy,무료,https://map.naver.com/v5/search/잠실한강공원,https://map.kakao.com/link/search/잠실한강공원,해당없음,TRUE,
recommend,속초 청초,바다 낚시 투어,Sea Fishing Tour,"속초 청초호 출발 동해 바다 낚시 투어
▪ 선상 낚시 4시간 · 낚시 장비 전부 제공
▪ 갓 잡은 생선 회 현장 시식
▪ 멀미약 사전 복용 권장","East Sea fishing tour from Sokcho Cheongcho Lake
▪ 4hr boat fishing · all gear provided
▪ Freshly caught sashimi on board
▪ Motion sickness medicine recommended",청초호반로 215,"215 Cheongchohoban-ro, Sokcho-si, Gangwon-do",속초버스터미널 → 시내버스 1번 → 청초호 정류장 (약 10분),4시간,easy,"70,000~90,000원",https://map.naver.com/v5/search/속초+낚시,https://map.kakao.com/link/search/속초+낚시,해당없음,FALSE,
recommend,서울 한남,개인 스타일링 컨설팅,Personal Styling Consultation,"한남동 1:1 퍼스널 패션 스타일링
▪ 퍼스널 컬러 진단 → 체형 분석 → 스타일 제안
▪ 3시간 집중 컨설팅
▪ 한남동 편집숍 쇼핑 동행 옵션","Hannam-dong 1:1 personal fashion styling
▪ Personal color diagnosis → body type analysis → style proposal
▪ 3-hour intensive consultation
▪ Hannam select shop shopping accompaniment option",한남대로20길 일대,"Hannam-daero 20-gil area, Yongsan-gu, Seoul",6호선 한강진역 2번 출구 → 도보 10분 → 한남동 일대,3시간,easy,"150,000~200,000원",https://map.naver.com/v5/search/한남동+스타일링,https://map.kakao.com/link/search/한남동+스타일링,해당없음,FALSE,
recommend,서울 종로,을지로 노포·힙지로 탐방,Euljiro Old Shops & Hip Culture Tour,"을지로 인쇄·공구 골목 & 힙지로 탐방
▪ 을지로3가 노포 골목 → 세운상가 → 힙지로 카페
▪ 인쇄골목·전기부품 시장 레트로 감성
▪ 독립 서점·갤러리 연계","Euljiro printing·tools alley & hip culture
▪ Euljiro 3-ga old shops → Sewoon Arcade → hip cafes
▪ Retro vibe in printing alley & electronics market
▪ Independent bookshops & galleries nearby",을지로 16길 일대,"Euljiro 16-gil area, Jung-gu, Seoul",2호선·3호선 을지로3가역 2번 출구 → 도보 1분 → 을지로 골목,3시간,easy,무료,https://map.naver.com/v5/search/을지로3가+힙지로,https://map.kakao.com/link/search/을지로3가+힙지로,해당없음,TRUE,
recommend,서울 마포,합정·상수 카페 골목 투어,Hapjeong & Sangsu Cafe Alley Tour,"합정·상수동 독립 카페 골목 투어
▪ 합정역 → 당인리문화창작발전소 → 상수동 카페 골목
▪ 2호선·6호선 환승 접근성 최고
▪ 메세나폴리스몰 쇼핑 연계","Hapjeong & Sangsu-dong indie cafe alley tour
▪ Hapjeong station → Danginri Power Plant → Sangsu cafe alley
▪ Best access via Line 2·6 transfer
▪ Connects to Mecenatpolis Mall",독막로 주변,"Dongmak-ro area, Mapo-gu, Seoul",2호선·6호선 합정역 7번 출구 → 도보 3분 → 상수동 카페 골목,3시간,easy,"음료 7,000원~",https://map.naver.com/v5/search/상수동+카페,https://map.kakao.com/link/search/상수동+카페,해당없음,TRUE,
